ev_tipi,oda_sayisi,buyukluk,bina_yasi,kat,il,semt,fiyat
Daire,3 + 1,155.0,2.0,1. Kat,Bursa,Nilüfer,17000.0
Daire,3 + 1,140.0,30.0,5. Kat,Bursa,Gemlik,10000.0
Daire,2 + 1,131.0,0.0,Ara Kat,Bursa,Mudanya,10300.0
Daire,4 + 1,150.0,4.0,En Üst Kat,Bursa,Mustafakemalpaşa,6500.0
Daire,3 + 1,195.0,11.0,2. Kat,Bursa,Nilüfer,14000.0
Daire,5 + 1,300.0,6.0,5. Kat,Bursa,Nilüfer,12500.0
Daire,2 + 1,100.0,30.0,Yüksek Giriş,Bursa,Mudanya,6500.0
Daire,3 + 1,160.0,25.0,Kot 3,Bursa,Nilüfer,12500.0
Daire,Stüdyo,50.0,30.0,Ara Kat,Bursa,Osmangazi,3000.0
Daire,4 + 1,240.0,15.0,En Üst Kat,Bursa,Orhangazi,8000.0
Daire,2 + 1,75.0,14.0,1. Kat,Bursa,Nilüfer,4750.0
Daire,2 + 1,120.0,20.0,En Üst Kat,Bursa,Mustafakemalpaşa,3500.0
Daire,2 + 1,175.0,0.0,6. Kat,Bursa,Nilüfer,16500.0
Daire,3 + 1,150.0,21.0,4. Kat,Bursa,Gemlik,9000.0
Daire,3 + 1,180.0,7.0,1. Kat,Bursa,Nilüfer,10000.0
Daire,Stüdyo,55.0,30.0,Ara Kat,Bursa,Osmangazi,4000.0
Daire,3 + 1,150.0,3.0,1. Kat,Bursa,Nilüfer,12000.0
Daire,2 + 1,75.0,2.0,3. Kat,Bursa,Nilüfer,2500.0
Daire,1 + 1,60.0,5.0,Yüksek Giriş,Bursa,Nilüfer,5500.0
Daire,4 + 1,165.0,16.0,3. Kat,Bursa,Gemlik,7500.0
Daire,3 + 1,135.0,5.0,5. Kat,Bursa,Nilüfer,12000.0
Daire,2 + 1,75.0,2.0,Ara Kat,Bursa,Nilüfer,6000.0
Daire,2 + 1,65.0,1.0,7. Kat,Bursa,Nilüfer,6400.0
Residence,1 + 1,107.0,0.0,7. Kat,Bursa,Nilüfer,13000.0
Daire,1 + 1,77.0,10.0,6. Kat,Bursa,Nilüfer,7300.0
Daire,2 + 1,80.0,10.0,4. Kat,Bursa,Nilüfer,5000.0
Daire,1 + 1,72.0,5.0,En Üst Kat,Bursa,Nilüfer,7500.0
Villa,3 + 1,150.0,20.0,,Bursa,Mudanya,8500.0
Daire,3 + 1,135.0,21.0,9. Kat,Bursa,Gemlik,6500.0
Daire,3 + 1,160.0,15.0,6. Kat,Bursa,Osmangazi,10500.0
Daire,2 + 1,80.0,4.0,3. Kat,Bursa,Nilüfer,6500.0
Daire,2 + 1,120.0,20.0,2. Kat,Bursa,Mudanya,10000.0
Daire,1 + 1,75.0,3.0,3. Kat,Bursa,Osmangazi,10250.0
Daire,2 + 1,61.0,2.0,Ara Kat,Bursa,Nilüfer,7600.0
Daire,3 + 1,120.0,30.0,Teras Katı,Bursa,Yıldırım,8000.0
Daire,3 + 1,125.0,13.0,1. Kat,Bursa,Nilüfer,12000.0
Daire,3 + 1,130.0,25.0,Ara Kat,Bursa,Mudanya,6500.0
Daire,3 + 1,145.0,12.0,3. Kat,Bursa,Nilüfer,9750.0
Daire,2 + 1,60.0,1.0,7. Kat,Bursa,Nilüfer,6400.0
Daire,2 + 1,110.0,26.0,1. Kat,Bursa,Gemlik,4500.0
Daire,2 + 1,80.0,10.0,4. Kat,Bursa,Nilüfer,5000.0
Daire,2 + 1,75.0,4.0,Ara Kat,Bursa,Nilüfer,5000.0
Daire,2 + 1,65.0,8.0,2. Kat,Bursa,Nilüfer,5000.0
Daire,2 + 1,145.0,10.0,6. Kat,Bursa,Osmangazi,10500.0
Daire,2 + 1,100.0,25.0,2. Kat,Bursa,Orhangazi,8500.0
Daire,2 + 1,135.0,13.0,En Üst Kat,Bursa,Nilüfer,9750.0
Daire,3 + 1,130.0,20.0,Ara Kat,Bursa,Orhangazi,5000.0
Daire,1 + 1,50.0,10.0,3. Kat,Bursa,Nilüfer,6500.0
Daire,1 + 1,65.0,0.0,6. Kat,Bursa,Nilüfer,6000.0
Daire,2 + 1,100.0,1.0,2. Kat,Bursa,İznik,7000.0
Residence,1 + 1,120.0,0.0,4. Kat,Bursa,Nilüfer,13500.0
Daire,3 + 1,180.0,5.0,3. Kat,Bursa,Gemlik,10000.0
Daire,2 + 1,136.0,0.0,5. Kat,Bursa,Nilüfer,9400.0
Daire,3 + 1,120.0,25.0,Ara Kat,Bursa,Osmangazi,7000.0
Müstakil Ev,3 + 1,130.0,18.0,,Bursa,Osmangazi,5500.0
Daire,2 + 1,88.0,0.0,3. Kat,Bursa,Nilüfer,7000.0
Daire,2 + 1,95.0,25.0,3. Kat,Bursa,Mudanya,10500.0
Daire,2 + 1,75.0,10.0,2. Kat,Bursa,Nilüfer,5000.0
Daire,2 + 1,85.0,30.0,4. Kat,Bursa,Osmangazi,6000.0
Daire,2 + 1,85.0,0.0,6. Kat,Bursa,Nilüfer,7500.0
Daire,3 + 1,115.0,25.0,1. Kat,Bursa,Orhangazi,8000.0
Daire,3 + 1,140.0,21.0,10. Kat,Bursa,Gemlik,10000.0
Daire,4 + 1,200.0,30.0,5. Kat,Bursa,Osmangazi,15000.0
Daire,2 + 1,100.0,29.0,3. Kat,Bursa,Osmangazi,9000.0
Daire,2 + 1,60.0,0.0,3. Kat,Bursa,Nilüfer,6500.0
Daire,2 + 1,80.0,8.0,1. Kat,Bursa,Nilüfer,5000.0
Daire,2 + 1,85.0,25.0,4. Kat,Bursa,Gemlik,5000.0
Daire,5 + 2,300.0,5.0,7. Kat,Bursa,Nilüfer,14500.0
Daire,2 + 1,130.0,25.0,En Üst Kat,Bursa,Osmangazi,7500.0
Daire,2 + 1,120.0,26.0,2. Kat,Bursa,Yıldırım,10000.0
Daire,2 + 1,75.0,8.0,2. Kat,Bursa,Nilüfer,5500.0
Daire,1 + 1,65.0,0.0,6. Kat,Bursa,Nilüfer,6000.0
Daire,3 + 1,140.0,13.0,1. Kat,Bursa,Nilüfer,7250.0
Daire,1 + 1,80.0,15.0,3. Kat,Bursa,Nilüfer,9000.0
Daire,2 + 1,75.0,8.0,2. Kat,Bursa,Nilüfer,5000.0
Daire,2 + 1,95.0,20.0,3. Kat,Bursa,Mudanya,9500.0
Daire,1 + 3,135.0,30.0,3. Kat,Bursa,Yıldırım,8000.0
Daire,Stüdyo,65.0,1.0,3. Kat,Bursa,Gemlik,5500.0
Daire,2 + 1,100.0,30.0,5. Kat,Bursa,Mudanya,6500.0
Daire,2 + 1,112.0,26.0,2. Kat,Bursa,Osmangazi,6000.0
Daire,2 + 1,85.0,20.0,4. Kat,Bursa,Gemlik,10000.0
Daire,2 + 1,117.0,0.0,2. Kat,Bursa,Nilüfer,8000.0
Daire,3 + 1,225.0,3.0,6. Kat,Bursa,Nilüfer,32500.0
Daire,1 + 1,75.0,2.0,Bahçe Katı,Bursa,Mudanya,5500.0
Daire,1 + 1,80.0,15.0,7. Kat,Bursa,Nilüfer,9000.0
Daire,3 + 1,150.0,20.0,6. Kat,Bursa,Mudanya,8500.0
Daire,2 + 1,75.0,3.0,Zemin,Bursa,Nilüfer,5750.0
Daire,2 + 1,115.0,25.0,En Üst Kat,Bursa,Gemlik,3500.0
Daire,1 + 1,65.0,1.0,2. Kat,Bursa,Nilüfer,5000.0
Daire,3 + 1,130.0,30.0,1. Kat,Bursa,Yıldırım,6000.0
Daire,2 + 1,60.0,0.0,2. Kat,Bursa,Nilüfer,7500.0
Müstakil Ev,2 + 1,80.0,25.0,,Bursa,Osmangazi,4000.0
Daire,1 + 1,80.0,25.0,2. Kat,Bursa,Osmangazi,6000.0
Daire,2 + 1,85.0,4.0,1. Kat,Bursa,Nilüfer,4750.0
Daire,3 + 1,110.0,35.0,3. Kat,Bursa,Gemlik,4250.0
Residence,4 + 1,210.0,0.0,5. Kat,Bursa,Osmangazi,14250.0
Daire,2 + 1,80.0,1.0,2. Kat,Bursa,Nilüfer,6000.0
Villa,3 + 1,210.0,4.0,,Bursa,Mudanya,39500.0
Daire,1 + 1,113.0,0.0,6. Kat,Bursa,Nilüfer,14000.0
Daire,3 + 1,200.0,1.0,Bahçe Katı,Bursa,Orhangazi,15000.0
Daire,1 + 1,65.0,1.0,4. Kat,Bursa,Nilüfer,8750.0
Daire,2 + 1,60.0,0.0,4. Kat,Bursa,Nilüfer,7000.0
Daire,2 + 1,98.0,0.0,2. Kat,Bursa,Nilüfer,9000.0
Villa,5 + 1,275.0,25.0,,Bursa,Mudanya,33000.0
Daire,3 + 1,195.0,16.0,12. Kat,Bursa,Osmangazi,15000.0
Daire,3 + 1,150.0,25.0,3. Kat,Bursa,Nilüfer,9000.0
Daire,2 + 1,120.0,25.0,Ara Kat,Bursa,Gemlik,6000.0
Daire,2 + 1,85.0,20.0,Yüksek Giriş,Bursa,Gemlik,7000.0
Daire,3 + 1,130.0,30.0,1. Kat,Bursa,Yıldırım,8000.0
Daire,3 + 1,160.0,50.0,3. Kat,Bursa,Osmangazi,4000.0
Daire,1 + 1,92.0,0.0,4. Kat,Bursa,Nilüfer,11500.0
Daire,2 + 1,80.0,10.0,5. Kat,Bursa,Nilüfer,6000.0
Residence,1 + 1,110.0,0.0,10. Kat,Bursa,Nilüfer,13500.0
Daire,4 + 1,189.0,0.0,5. Kat,Bursa,Gemlik,10000.0
Daire,1 + 1,75.0,2.0,3. Kat,Bursa,Nilüfer,6250.0
Daire,1 + 1,113.0,0.0,9. Kat,Bursa,Nilüfer,14000.0
Daire,2 + 1,60.0,11.0,4. Kat,Bursa,Nilüfer,4500.0
Daire,2 + 1,129.0,5.0,17. Kat,Bursa,Osmangazi,12000.0
Daire,2 + 1,108.0,1.0,2. Kat,Bursa,Osmangazi,12750.0
Daire,3 + 1,140.0,25.0,2. Kat,Bursa,Nilüfer,9000.0
Daire,2 + 1,75.0,35.0,5. Kat,Bursa,Yıldırım,4000.0
Daire,1 + 1,55.0,3.0,En Üst Kat,Bursa,İnegöl,6000.0
Daire,2 + 1,104.0,0.0,En Üst Kat,Bursa,Nilüfer,8500.0
Daire,2 + 1,85.0,4.0,1. Kat,Bursa,Nilüfer,4750.0
Daire,1 + 1,72.0,2.0,2. Kat,Bursa,Nilüfer,8000.0
Daire,1 + 1,107.0,0.0,7. Kat,Bursa,Nilüfer,12500.0
Daire,2 + 1,85.0,28.0,En Üst Kat,Bursa,Gemlik,3000.0
Daire,3 + 1,145.0,0.0,2. Kat,Bursa,Nilüfer,12500.0
Daire,2 + 1,99.0,0.0,6. Kat,Bursa,Nilüfer,8500.0
Daire,2 + 1,55.0,11.0,Giriş Katı,Bursa,Nilüfer,4250.0
Daire,4 + 1,230.0,25.0,5. Kat,Bursa,Osmangazi,18000.0
Daire,2 + 1,95.0,0.0,5. Kat,Bursa,Nilüfer,7500.0
Daire,3 + 1,150.0,18.0,Ara Kat,Bursa,Gemlik,9000.0
Daire,3 + 1,165.0,4.0,2. Kat,Bursa,Osmangazi,17400.0
Daire,2 + 1,100.0,28.0,4. Kat,Bursa,Mudanya,7500.0
Daire,3 + 1,178.0,0.0,7. Kat,Bursa,Nilüfer,17000.0
Daire,1 + 1,65.0,10.0,3. Kat,Bursa,Nilüfer,4500.0
Daire,2 + 1,104.0,0.0,1. Kat,Bursa,Nilüfer,7500.0
Daire,1 + 1,78.0,5.0,12. Kat,Bursa,Osmangazi,10000.0
Daire,1 + 1,60.0,20.0,Zemin,Bursa,Nilüfer,3250.0
Daire,1 + 1,75.0,29.0,2. Kat,Bursa,Osmangazi,6000.0
Daire,3 + 1,140.0,0.0,1. Kat,Bursa,Gemlik,8000.0
Daire,3 + 1,168.0,1.0,10. Kat,Bursa,Nilüfer,13500.0
Daire,3 + 1,140.0,1.0,Ara Kat,Bursa,Gemlik,15000.0
Daire,2 + 1,80.0,10.0,5. Kat,Bursa,Nilüfer,6000.0
Daire,3 + 1,140.0,11.0,1. Kat,Bursa,Nilüfer,7250.0
Daire,1 + 1,75.0,5.0,Kot 1,Bursa,Mudanya,7500.0
Daire,2 + 1,95.0,0.0,5. Kat,Bursa,Nilüfer,8500.0
Daire,1 + 1,85.0,30.0,Yüksek Giriş,Bursa,Gemlik,2500.0
Daire,3 + 1,135.0,20.0,Ara Kat,Bursa,Mudanya,12000.0
Daire,2 + 1,110.0,10.0,4. Kat,Bursa,Nilüfer,6000.0
Daire,2 + 1,100.0,25.0,Yüksek Giriş,Bursa,Mustafakemalpaşa,2750.0
Daire,2 + 1,130.0,25.0,3. Kat,Bursa,Gemlik,5500.0
Daire,3 + 1,150.0,25.0,4. Kat,Bursa,Gemlik,9000.0
Daire,3 + 1,165.0,15.0,Zemin,Bursa,Mudanya,8000.0
Daire,1 + 1,55.0,0.0,4. Kat,Bursa,Nilüfer,6250.0
Müstakil Ev,3 + 1,160.0,20.0,,Bursa,Nilüfer,7500.0
Daire,1 + 1,70.0,4.0,5. Kat,Bursa,Nilüfer,9500.0
Müstakil Ev,3 + 1,130.0,10.0,,Bursa,Osmangazi,15000.0
Daire,3 + 1,179.0,10.0,6. Kat,Bursa,Osmangazi,13750.0
Daire,3 + 1,110.0,20.0,2. Kat,Bursa,Orhangazi,5000.0
Daire,3 + 1,256.0,0.0,6. Kat,Bursa,Nilüfer,12000.0
Daire,3 + 1,190.0,12.0,Yüksek Giriş,Bursa,Nilüfer,13500.0
Daire,2 + 1,75.0,3.0,Zemin,Bursa,Nilüfer,5750.0
Daire,2 + 1,90.0,20.0,Yüksek Giriş,Bursa,Gemlik,5000.0
Daire,3 + 1,125.0,25.0,Ara Kat,Bursa,Yıldırım,6000.0
Yalı Dairesi,2 + 1,120.0,100.0,Yüksek Giriş,Bursa,Mudanya,12000.0
Daire,1 + 1,60.0,0.0,2. Kat,Bursa,Nilüfer,8000.0
Daire,2 + 1,115.0,4.0,Bahçe Katı,Bursa,Nilüfer,9500.0
Daire,3 + 1,145.0,5.0,2. Kat,Bursa,Mudanya,11000.0
Daire,2 + 1,75.0,0.0,4. Kat,Bursa,Nilüfer,7500.0
Daire,2 + 1,120.0,13.0,Çatı Katı,Bursa,Nilüfer,9000.0
Daire,1 + 1,45.0,1.0,4. Kat,Bursa,Nilüfer,6250.0
Daire,2 + 1,75.0,1.0,3. Kat,Bursa,Nilüfer,6500.0
Daire,4 + 1,200.0,12.0,4. Kat,Bursa,Orhangazi,8000.0
Daire,2 + 1,85.0,10.0,Ara Kat,Bursa,Nilüfer,6500.0
Daire,2 + 1,100.0,12.0,1. Kat,Bursa,Nilüfer,8250.0
Daire,1 + 1,80.0,8.0,2. Kat,Bursa,Mudanya,9400.0
Daire,2 + 1,85.0,4.0,2. Kat,Bursa,Nilüfer,6000.0
Daire,2 + 1,90.0,25.0,1. Kat,Bursa,Gemlik,20000.0
Daire,2 + 2,180.0,3.0,Bahçe Katı,Bursa,Mudanya,12500.0
Daire,3 + 1,120.0,25.0,2. Kat,Bursa,Mudanya,6500.0
Daire,2 + 1,115.0,21.0,Yüksek Giriş,Bursa,Mudanya,6000.0
Daire,2 + 1,103.0,5.0,7. Kat,Bursa,Nilüfer,7500.0
Residence,1 + 1,120.0,0.0,3. Kat,Bursa,Nilüfer,15000.0
Daire,2 + 1,115.0,25.0,2. Kat,Bursa,Yıldırım,5750.0
Daire,1 + 1,65.0,20.0,Ara Kat,Bursa,Orhangazi,6500.0
Daire,3 + 1,140.0,0.0,1. Kat,Bursa,Gemlik,8000.0
Daire,6 + 1,220.0,5.0,4. Kat,Bursa,Nilüfer,10000.0
Daire,2 + 1,85.0,4.0,2. Kat,Bursa,Nilüfer,6000.0
Daire,2 + 1,69.0,0.0,5. Kat,Bursa,Nilüfer,6500.0
Daire,2 + 1,85.0,20.0,2. Kat,Bursa,Gemlik,15000.0
Daire,3 + 1,145.0,20.0,Ara Kat,Bursa,Gemlik,20000.0
Daire,3 + 1,140.0,35.0,Giriş Katı,Bursa,Yıldırım,5000.0
Daire,2 + 1,110.0,18.0,3. Kat,Bursa,Osmangazi,7500.0
Daire,3 + 1,154.0,4.0,12. Kat,Bursa,Osmangazi,17500.0
Daire,3 + 1,135.0,5.0,3. Kat,Bursa,Nilüfer,10000.0
Daire,1 + 1,60.0,10.0,2. Kat,Bursa,Nilüfer,12500.0
Daire,2 + 1,110.0,2.0,1. Kat,Bursa,Mudanya,6500.0
Müstakil Ev,3 + 1,130.0,20.0,,Bursa,Mustafakemalpaşa,2250.0
Daire,2 + 1,90.0,30.0,3. Kat,Bursa,Osmangazi,9000.0
Daire,2 + 1,85.0,0.0,6. Kat,Bursa,Nilüfer,7000.0
Daire,3 + 1,110.0,30.0,3. Kat,Bursa,Gemlik,6000.0
Daire,3 + 1,150.0,40.0,Ara Kat,Bursa,Osmangazi,8500.0
Daire,2 + 1,85.0,18.0,3. Kat,Bursa,Gemlik,30000.0
Daire,3 + 1,150.0,27.0,En Üst Kat,Bursa,Gemlik,4000.0
Daire,3 + 1,160.0,21.0,2. Kat,Bursa,Gemlik,6000.0
Daire,2 + 1,90.0,4.0,2. Kat,Bursa,Nilüfer,8000.0
Daire,3 + 1,120.0,0.0,8. Kat,Bursa,Nilüfer,15000.0
Daire,2 + 1,140.0,22.0,2. Kat,Bursa,Gemlik,3000.0
Daire,2 + 1,100.0,0.0,2. Kat,Bursa,Nilüfer,7000.0
Daire,2 + 1,100.0,35.0,En Üst Kat,Bursa,Gemlik,3000.0
Daire,2 + 1,80.0,15.0,4. Kat,Bursa,Nilüfer,11000.0
Daire,3 + 1,159.0,26.0,4. Kat,Bursa,Osmangazi,15250.0
Daire,2 + 1,70.0,1.0,2. Kat,Bursa,Nilüfer,6150.0
Daire,2 + 1,85.0,11.0,1. Kat,Bursa,Nilüfer,5000.0
Daire,3 + 1,90.0,3.0,Bahçe Katı,Bursa,Nilüfer,6600.0
Daire,3 + 1,135.0,26.0,5. Kat,Bursa,Nilüfer,9500.0
Daire,Stüdyo,45.0,15.0,Ara Kat,Bursa,Osmangazi,3500.0
Daire,2 + 1,75.0,31.0,Yüksek Giriş,Bursa,Osmangazi,5000.0
Daire,1 + 1,70.0,4.0,Bahçe Katı,Bursa,Nilüfer,8750.0
Yazlık,2 + 1,160.0,20.0,2. Kat,Bursa,Karacabey,75000.0
Daire,3 + 1,130.0,30.0,5. Kat,Bursa,Osmangazi,6000.0
Daire,2 + 1,100.0,0.0,2. Kat,Bursa,Nilüfer,7000.0
Daire,3 + 1,150.0,0.0,3. Kat,Bursa,Nilüfer,15000.0
Daire,4 + 1,220.0,5.0,12. Kat,Bursa,Osmangazi,20000.0
Daire,4 + 1,260.0,0.0,11. Kat,Bursa,Osmangazi,30000.0
Daire,1 + 1,76.0,0.0,3. Kat,Bursa,Nilüfer,7500.0
Daire,2 + 1,72.0,0.0,En Üst Kat,Bursa,Nilüfer,8750.0
Daire,2 + 0,55.0,11.0,1. Kat,Bursa,Nilüfer,5000.0
Daire,6 + 1,300.0,11.0,5. Kat,Bursa,Mudanya,11500.0
Daire,2 + 1,60.0,0.0,4. Kat,Bursa,Nilüfer,7000.0
Daire,2 + 1,80.0,5.0,2. Kat,Bursa,Nilüfer,4900.0
Daire,2 + 1,60.0,11.0,Giriş Katı,Bursa,Nilüfer,4750.0
Daire,3 + 1,160.0,0.0,4. Kat,Bursa,İnegöl,9750.0
Daire,1 + 1,75.0,10.0,3. Kat,Bursa,Nilüfer,5500.0
Daire,2 + 1,90.0,30.0,5. Kat,Bursa,Yıldırım,7000.0
Daire,1 + 1,72.0,5.0,3. Kat,Bursa,Osmangazi,8600.0
Daire,3 + 1,270.0,4.0,4. Kat,Bursa,Nilüfer,30000.0
Daire,2 + 1,85.0,11.0,1. Kat,Bursa,Nilüfer,5000.0
Daire,2 + 1,70.0,0.0,1. Kat,Bursa,Nilüfer,5500.0
Daire,3 + 1,160.0,2.0,3. Kat,Bursa,Mudanya,17000.0
Daire,5 + 2,274.0,5.0,Çatı Katı,Bursa,Mudanya,12500.0
Daire,4 + 1,168.0,0.0,5. Kat,Bursa,Gemlik,10000.0
Daire,1 + 1,75.0,0.0,4. Kat,Bursa,Nilüfer,10000.0
Daire,4 + 1,165.0,0.0,En Üst Kat,Bursa,Osmangazi,1790000.0
Daire,1 + 1,75.0,10.0,3. Kat,Bursa,Nilüfer,5500.0
Daire,2 + 1,120.0,35.0,Ara Kat,Bursa,Gemlik,35000.0
Daire,2 + 1,99.0,0.0,6. Kat,Bursa,Nilüfer,8500.0
Residence,1 + 1,115.0,0.0,10. Kat,Bursa,Nilüfer,15000.0
Daire,3 + 1,125.0,0.0,5. Kat,Bursa,Osmangazi,10000.0
Daire,2 + 1,105.0,2.0,2. Kat,Bursa,Mudanya,6500.0
Daire,3 + 1,140.0,20.0,1. Kat,Bursa,Mudanya,9000.0
Daire,3 + 1,100.0,40.0,1. Kat,Bursa,Osmangazi,7000.0
Daire,2 + 1,85.0,25.0,En Üst Kat,Bursa,Mustafakemalpaşa,5000.0
Daire,2 + 1,80.0,1.0,2. Kat,Bursa,Nilüfer,5500.0
Daire,1 + 1,85.0,0.0,4. Kat,Bursa,Nilüfer,10000.0
Daire,2 + 1,85.0,25.0,4. Kat,Bursa,Gemlik,7000.0
Daire,Stüdyo,45.0,30.0,Ara Kat,Bursa,Gemlik,6000.0
Residence,1 + 1,115.0,0.0,10. Kat,Bursa,Nilüfer,15000.0
Daire,1 + 1,70.0,10.0,Yüksek Giriş,Bursa,Nilüfer,7000.0
Daire,3 + 1,189.0,3.0,7. Kat,Bursa,Osmangazi,21000.0
Daire,3 + 1,179.0,11.0,12. Kat,Bursa,Osmangazi,21000.0
Daire,3 + 2,140.0,26.0,1. Kat,Bursa,Mustafakemalpaşa,4000.0
Daire,1 + 1,90.0,0.0,3. Kat,Bursa,Nilüfer,10500.0
Residence,1 + 1,107.0,0.0,7. Kat,Bursa,Nilüfer,12500.0
Daire,3 + 1,155.0,0.0,3. Kat,Bursa,Mudanya,12000.0
Daire,2 + 1,80.0,1.0,2. Kat,Bursa,Nilüfer,5500.0
Daire,3 + 1,135.0,4.0,5. Kat,Bursa,Osmangazi,9500.0
